# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
aa1 	丫	c=1 d=1.08718e-11 t=6354
aa1 gaa1 naa4 daai6 	丫加拿大	c=1 d=1.84677e-11 t=6354
aa1 maa3 	吖嘛	c=6 d=0.874048 t=6354
aa3 	啊	c=6 d=1.47743 t=6354
aa3 baak3 	阿伯	c=1 d=3.52782e-08 t=6354
aa4 	呀	c=16 d=0.00714176 t=6354
aai1 	唉	c=3 d=0.000115833 t=6354
aan3 	晏	c=1 d=9.78334e-08 t=6354
aan3 di1 	晏啲	c=1 d=5.74268e-05 t=6354
aat3 	壓	c=0 d=1.10592e-09 t=6354
aat3 zaa3 	壓搾	c=1 d=1.08927e-06 t=6354
baa1 si2 	巴士	c=1 d=0.0184074 t=6354
baa2 	把	c=2 d=4.8219e-08 t=6354
baa3 lan2 zyu6 	霸撚住	c=1 d=9.37865e-11 t=6354
baa4 baa1 	爸爸	c=2 d=1.87945e-10 t=6354
baa6 	吧	c=1 d=8.19288e-09 t=6354
baai3 nin4 	拜年	c=1 d=0.321422 t=6354
baak6 	白	c=2 d=0.0057417 t=6354
baak6 kaat1 	白卡	c=2 d=0.00514054 t=6354
baak6 saa1 waan1 	白沙灣	c=1 d=1.80086e-09 t=6354
baak6 sik1 	白色	c=1 d=0.000205513 t=6354
baak6 tau4 faat3 	白頭髮	c=2 d=4.64583e-10 t=6354
baan1 	班	c=1 d=1.18365e-13 t=6354
baan1 sau6 	頒授	c=1 d=5.58833e-08 t=6354
baan1 soeng2 	班相	c=1 d=9.16765e-08 t=6354
baan2 	版	c=3 d=0.476837 t=6354
baan2 bun2 	版本	c=3 d=2.62125e-05 t=6354
baan6 	扮	c=1 d=1.20072e-05 t=6354
baat3 	八	c=2 d=2.01589e-09 t=6354
baat3 daat6 tung1 	八達通	c=1 d=1.31765e-10 t=6354
baau1 	包	c=2 d=1.0679e-08 t=6354
baau1 kut3 	包括	c=1 d=0.00108628 t=6354
baau1 zi2 	包子	c=1 d=0.0123389 t=6354
baau3 	爆	c=2 d=5.05354e-10 t=6354
bak1 ging1 	北京	c=1 d=1.11742e-12 t=6354
bat1 	不	c=1 d=0.00104368 t=6354
bat1 coeng4 jyu6 gam2 	不祥預感	c=1 d=0.268474 t=6354
bat1 daan6 	不但	c=1 d=0.412714 t=6354
bat1 ging2 	畢竟	c=2 d=7.98481e-10 t=6354
bat1 gwo3 	不過	c=15 d=1.05278 t=6354
bat1 jing1 goi1 	不應該	c=1 d=6.10194e-13 t=6354
bat1 jip6 	畢業	c=4 d=9.34035e-08 t=6354
bat1 jip6 soeng1 	畢業相	c=1 d=8.13374e-12 t=6354
bat1 jyu4 	不如	c=2 d=0.00704808 t=6354
bat1 si6 	不是	c=1 d=0.331211 t=6354
bat1 tung4 	不同	c=2 d=1.27658e-12 t=6354
bei2 	俾	c=27 d=0.842935 t=6354
bei2 	比	c=10 d=4.24005e-05 t=6354
bei2 cin2 	畀錢	c=1 d=5.89006e-09 t=6354
bei2 gaau3 	比較	c=2 d=1.71971e-07 t=6354
bei6 	被	c=2 d=0.835082 t=6354
beng6 duk6 	病毒	c=1 d=0.00162053 t=6354
bik1 	碧	c=2 d=1.82882e-06 t=6354
bin1 	邊	c=5 d=5.40914e-06 t=6354
bin1 	鞭	c=1 d=1.86564e-13 t=6354
bin1 go3 	邊個	c=8 d=0.264623 t=6354
bin1 jat1 	邊一	c=1 d=4.46313e-10 t=6354
bin1 jyun4 	邊緣	c=1 d=2.25449e-05 t=6354
bin3 	變	c=1 d=0.0112769 t=6354
bin3 liu5 	變了	c=1 d=0.211189 t=6354
bin3 taai3 lou2 	變態佬	c=1 d=4.47469e-11 t=6354
bing1 cyun1 	冰川	c=1 d=1.39576e-11 t=6354
bing6 	並	c=2 d=0.00222113 t=6354
bing6 bat1 si6 	並不是	c=1 d=3.56388e-10 t=6354
bing6 ce2 	並且	c=1 d=1.06292e-12 t=6354
bit1 seoi1 	必須	c=1 d=0.00117088 t=6354
biu1 	錶	c=1 d=0.256661 t=6354
biu2 si6 	表示	c=5 d=0.27169 t=6354
biu2 ze2 	表姐	c=1 d=1.83787e-13 t=6354
bo1 	波	c=2 d=5.896e-05 t=6354
bo1 lei4 coeng1 	玻璃窗	c=1 d=0.000281606 t=6354
bo1 zai2 	波仔	c=3 d=1.12885e-08 t=6354
bo3 	播	c=2 d=2.07031e-11 t=6354
bo3 go1 	播歌	c=1 d=7.25014e-12 t=6354
bok3 	駁	c=1 d=1.10326e-09 t=6354
bok3 mat6 gun2 	博物館	c=0 d=8.96292e-08 t=6354
bong1 	幫	c=17 d=0.267117 t=6354
bong1 gan2 	幫緊	c=1 d=9.46807e-05 t=6354
bong1 m4 dou2 	幫唔倒	c=1 d=6.75999e-12 t=6354
bong2 gan2 	綁緊	c=1 d=9.28059e-05 t=6354
bong6 seoi2 	磅水	c=1 d=6.67658e-13 t=6354
bou2 	補	c=2 d=3.29737e-05 t=6354
bou2 sin1 	保鮮	c=1 d=1.07324e-08 t=6354
bou6 	部	c=8 d=0.46005 t=6354
bou6 mun4 	部門	c=1 d=1.03901e-09 t=6354
bui3 do1 fan1 	貝多芬	c=1 d=0.0223708 t=6354
bun1 	搬	c=4 d=6.72577e-07 t=6354
bun1 uk1 	搬屋	c=1 d=1.90761e-10 t=6354
bun1 wan6 	搬運	c=2 d=2.01571e-10 t=6354
bun1 zo2 	搬咗	c=1 d=7.48901e-11 t=6354
bun2 	本	c=2 d=1.74261e-11 t=6354
bun2 san1 	本身	c=8 d=9.31217e-05 t=6354
bun3 	半	c=1 d=1.81427e-08 t=6354
bun3 dou2 	半島	c=1 d=2.17843e-13 t=6354
bun3 jat6 	半日	c=1 d=8.54786e-08 t=6354
caa1 din6 tau4 	差電頭	c=1 d=0.0328764 t=6354
caa1 m4 do1 	差唔多	c=2 d=9.14161e-11 t=6354
caa4 	查	c=1 d=7.58385e-12 t=6354
caa4 zuk6 	茶軸	c=1 d=0.000735471 t=6354
caak1 fong1 	測謊	c=1 d=0.0103063 t=6354
caam1 haau2 	參考	c=2 d=1.42374e-09 t=6354
caam2 	慘	c=1 d=2.68703e-11 t=6354
caan1 pun4 	餐盤	c=2 d=4.0815e-09 t=6354
caan1 teng1 	餐廳	c=1 d=8.07091e-09 t=6354
caau1 	抄	c=2 d=2.11299e-07 t=6354
cai4 	齊	c=10 d=3.88873e-05 t=6354
can4 	陳	c=1 d=3.71956e-13 t=6354
can4 gun3 hei1 	陳冠希	c=1 d=0.000581442 t=6354
can4 jik6 seon3 	陳奕迅	c=14 d=0.526754 t=6354
can4 jing4 	陳凝	c=1 d=0.00130051 t=6354
can4 taai3 	陳太	c=1 d=0.00098783 t=6354
can4 wun6 	陳奐	c=0 d=0.00211736 t=6354
can4 wun6 jan4 	陳奐仁	c=1 d=0.0212797 t=6354
cat1 	柒	c=1 d=1.07065e-09 t=6354
cat1 baak3 	七百	c=0 d=7.5617e-08 t=6354
cat1 baak3 nin4 hau6 	七百年後	c=1 d=7.5996e-07 t=6354
cau3 	臭	c=1 d=5.47861e-10 t=6354
ce1 	車	c=1 d=0.0898153 t=6354
ceng1 dou3 	清到	c=1 d=4.91812e-05 t=6354
ceng2 	請	c=7 d=0.000492047 t=6354
ceoi1 	吹	c=1 d=2.40133e-12 t=6354
